Time,Odom_X,Odom_Y,Odom_Yaw(deg),Cam_X,Cam_Y,Cam_Yaw(deg),Diff_X,Diff_Y,Diff_Yaw
0.00,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.05,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.10,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.15,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.20,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.25,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.30,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.35,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.41,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.45,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.50,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.55,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.60,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.65,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.70,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.76,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.81,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.86,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.91,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.95,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.00,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.05,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.10,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.16,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.20,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.26,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.31,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.36,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.41,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.46,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.51,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.56,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.62,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.67,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.71,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.76,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.81,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.86,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.91,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.96,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.03,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.06,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.11,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.16,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.21,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.26,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.31,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.36,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.42,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.46,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.51,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.56,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.61,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.66,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.71,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.76,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.81,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.86,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.92,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
2.97,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.01,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.07,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.11,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.16,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.21,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.26,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.32,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.36,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.41,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.46,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.51,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.57,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.61,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.66,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.71,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.77,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.81,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.86,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.91,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
3.96,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.02,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.06,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.12,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.16,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.21,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.27,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.32,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.37,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.42,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.47,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.52,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.57,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.62,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.67,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.72,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.77,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.82,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.87,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.92,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.98,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.03,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.07,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.12,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.17,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.22,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.27,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.33,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.37,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.42,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.47,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.53,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.57,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.63,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.67,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.73,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.77,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.82,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.88,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.92,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.97,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.02,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.07,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.12,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.18,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.22,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.27,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.32,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.37,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.46,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.48,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.52,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.57,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.62,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.68,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.72,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.79,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.82,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.87,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.92,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.98,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.02,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.07,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.13,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.18,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.23,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.27,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.33,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
7.38,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.43,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.48,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.53,0.000,0.000,0.0,-1.111,1.159,2.5,-1.111,1.159,2.5
7.58,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.63,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.68,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.73,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.78,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.83,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.88,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.93,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
7.98,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
8.03,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
8.08,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
8.13,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
8.19,0.000,0.000,0.0,-1.111,1.159,2.6,-1.111,1.159,2.6
8.23,0.000,0.000,0.0,-1.111,1.159,2.6,-1.111,1.159,2.6
8.28,0.000,0.000,0.0,-1.111,1.159,2.6,-1.111,1.159,2.6
8.33,0.000,0.000,0.0,-1.111,1.159,2.6,-1.111,1.159,2.6
8.38,0.000,0.000,0.0,-1.111,1.159,2.6,-1.111,1.159,2.6
8.43,0.000,0.000,0.0,-1.111,1.159,2.6,-1.111,1.159,2.6
8.48,0.000,-0.000,-0.0,-1.111,1.159,2.6,-1.111,1.159,2.7
8.53,0.000,-0.000,-0.1,-1.111,1.159,2.6,-1.111,1.159,2.8
8.58,0.000,-0.000,-0.3,-1.111,1.159,2.6,-1.111,1.159,3.0
8.63,0.001,-0.000,-0.5,-1.111,1.159,2.6,-1.111,1.159,3.2
8.68,0.001,-0.000,-0.7,-1.111,1.159,2.6,-1.112,1.159,3.4
8.73,0.001,-0.000,-0.9,-1.111,1.159,2.6,-1.112,1.159,3.5
8.78,0.002,-0.000,-1.3,-1.111,1.159,2.6,-1.112,1.159,3.9
8.83,0.003,-0.000,-2.2,-1.111,1.159,2.6,-1.114,1.159,4.8
8.88,0.005,-0.000,-3.2,-1.110,1.159,2.7,-1.115,1.159,5.9
8.93,0.007,-0.000,-4.7,-1.109,1.160,2.9,-1.116,1.160,7.5
8.98,0.009,-0.000,-5.9,-1.109,1.160,2.8,-1.118,1.160,8.7
9.04,0.011,-0.001,-7.7,-1.108,1.160,2.8,-1.120,1.161,10.4
9.08,0.014,-0.001,-9.2,-1.107,1.159,2.7,-1.121,1.161,11.9
9.13,0.016,-0.002,-11.1,-1.105,1.160,2.5,-1.121,1.161,13.6
9.18,0.019,-0.002,-13.0,-1.103,1.159,2.4,-1.122,1.162,15.4
9.24,0.023,-0.003,-15.8,-1.100,1.160,2.4,-1.123,1.163,18.2
9.28,0.026,-0.004,-17.5,-1.096,1.160,2.1,-1.122,1.163,19.6
9.33,0.029,-0.005,-19.7,-1.092,1.159,1.9,-1.120,1.164,21.7
9.38,0.032,-0.006,-22.2,-1.082,1.158,1.0,-1.114,1.164,23.2
9.43,0.035,-0.008,-24.7,-1.077,1.158,0.6,-1.113,1.166,25.2
9.48,0.039,-0.009,-27.3,-1.072,1.157,0.6,-1.111,1.167,28.0
9.53,0.043,-0.011,-30.1,-1.061,1.157,0.9,-1.104,1.168,30.9
9.58,0.047,-0.014,-33.2,-1.055,1.157,1.1,-1.102,1.171,34.4
9.63,0.050,-0.016,-36.2,-1.050,1.157,1.1,-1.100,1.174,37.3
9.70,0.055,-0.020,-40.2,-1.043,1.157,1.2,-1.098,1.177,41.4
9.73,0.057,-0.022,-42.4,-1.031,1.158,1.4,-1.088,1.180,43.8
9.79,0.061,-0.026,-45.8,-1.025,1.158,1.7,-1.086,1.184,47.6
9.83,0.064,-0.029,-48.5,-1.018,1.158,1.7,-1.081,1.187,50.2
9.89,0.067,-0.033,-52.1,-1.010,1.158,1.8,-1.077,1.191,53.9
9.93,0.069,-0.036,-54.4,-1.002,1.159,2.0,-1.071,1.194,56.4
9.98,0.071,-0.039,-57.1,-0.985,1.158,2.0,-1.056,1.197,59.1
10.03,0.073,-0.042,-59.7,-0.976,1.159,2.1,-1.049,1.201,61.8
10.09,0.075,-0.045,-62.3,-0.966,1.159,2.1,-1.042,1.205,64.4
10.13,0.077,-0.048,-64.6,-0.948,1.160,2.2,-1.025,1.208,66.7
10.18,0.078,-0.052,-67.0,-0.940,1.160,2.2,-1.018,1.211,69.1
10.23,0.079,-0.055,-69.1,-0.931,1.160,2.2,-1.011,1.215,71.3
10.28,0.080,-0.057,-70.9,-0.922,1.160,2.7,-1.002,1.217,73.7
10.34,0.081,-0.060,-73.0,-0.913,1.160,2.6,-0.995,1.221,75.6
10.38,0.082,-0.062,-74.4,-0.896,1.161,1.9,-0.978,1.223,76.3
10.44,0.083,-0.065,-76.1,-0.887,1.161,1.6,-0.970,1.226,77.7
10.49,0.083,-0.067,-77.8,-0.880,1.161,1.3,-0.963,1.228,79.0
10.54,0.084,-0.070,-79.8,-0.866,1.160,0.5,-0.949,1.230,80.3
10.59,0.084,-0.072,-81.5,-0.858,1.160,0.3,-0.942,1.232,81.8
10.64,0.084,-0.076,-83.6,-0.853,1.160,0.3,-0.937,1.235,83.9
10.69,0.085,-0.078,-85.2,-0.848,1.159,0.5,-0.933,1.237,85.7
10.74,0.085,-0.081,-87.2,-0.840,1.160,1.0,-0.924,1.241,88.2
10.79,0.085,-0.084,-89.2,-0.835,1.159,1.0,-0.920,1.243,90.1
10.84,0.085,-0.087,-91.3,-0.831,1.160,1.3,-0.916,1.247,92.6
10.89,0.085,-0.090,-93.6,-0.826,1.160,1.1,-0.911,1.250,94.6
10.94,0.085,-0.094,-96.1,-0.816,1.160,1.7,-0.901,1.254,97.8
10.99,0.084,-0.098,-98.9,-0.811,1.160,1.6,-0.895,1.258,100.5
11.04,0.083,-0.102,-101.8,-0.805,1.160,1.6,-0.888,1.262,103.4
11.09,0.082,-0.107,-104.9,-0.800,1.161,1.9,-0.882,1.267,106.8
11.14,0.081,-0.112,-108.2,-0.789,1.160,2.0,-0.869,1.272,110.2
11.19,0.078,-0.118,-111.2,-0.784,1.161,1.7,-0.862,1.279,112.9
11.24,0.076,-0.125,-112.6,-0.778,1.160,1.6,-0.854,1.285,114.3
11.29,0.072,-0.134,-113.4,-0.772,1.161,1.7,-0.844,1.295,115.2
11.34,0.068,-0.143,-113.4,-0.765,1.161,2.1,-0.833,1.304,115.6
11.39,0.063,-0.154,-112.8,-0.750,1.162,2.4,-0.813,1.316,115.2
11.44,0.059,-0.165,-112.1,-0.741,1.162,2.3,-0.800,1.327,114.4
11.50,0.054,-0.178,-111.2,-0.732,1.163,2.4,-0.786,1.340,113.7
11.54,0.050,-0.189,-110.5,-0.715,1.163,2.7,-0.764,1.352,113.1
11.60,0.044,-0.203,-109.4,-0.705,1.164,3.2,-0.750,1.367,112.7
11.64,0.040,-0.214,-108.8,-0.696,1.165,3.4,-0.736,1.379,112.2
11.69,0.035,-0.230,-108.4,-0.686,1.165,3.8,-0.721,1.396,112.2
11.74,0.030,-0.244,-108.3,-0.665,1.166,3.5,-0.696,1.411,111.8
11.79,0.025,-0.259,-107.8,-0.654,1.167,3.2,-0.679,1.426,111.0
11.84,0.020,-0.275,-107.5,-0.642,1.166,2.4,-0.662,1.441,109.9
11.89,0.015,-0.291,-107.3,-0.630,1.165,1.6,-0.646,1.456,108.9
11.95,0.010,-0.308,-106.8,-0.605,1.163,0.2,-0.615,1.471,107.0
11.99,0.006,-0.321,-106.4,-0.591,1.161,-0.4,-0.597,1.483,105.9
12.04,0.002,-0.335,-105.8,-0.578,1.160,-1.5,-0.580,1.494,104.4
12.09,-0.001,-0.348,-105.4,-0.564,1.159,-1.8,-0.563,1.507,103.6
12.15,-0.005,-0.362,-105.1,-0.533,1.156,-2.3,-0.528,1.519,102.8
12.19,-0.008,-0.373,-104.8,-0.518,1.155,-2.7,-0.510,1.529,102.2
12.25,-0.012,-0.387,-104.8,-0.485,1.153,-3.3,-0.473,1.540,101.5
12.29,-0.014,-0.397,-104.9,-0.502,1.154,-3.0,-0.487,1.551,101.9
12.35,-0.017,-0.408,-105.0,-0.438,1.148,-3.8,-0.421,1.557,101.1
12.39,-0.020,-0.416,-105.1,-0.469,1.151,-3.6,-0.449,1.567,101.5
12.44,-0.022,-0.425,-105.5,-0.425,1.147,-4.4,-0.403,1.572,101.1
12.49,-0.025,-0.434,-105.8,-0.412,1.145,-4.7,-0.388,1.580,101.2
12.54,-0.027,-0.442,-106.0,-0.385,1.142,-4.9,-0.359,1.585,101.1
12.59,-0.029,-0.450,-106.3,-0.374,1.141,-5.3,-0.345,1.591,101.0
12.66,-0.032,-0.459,-107.1,-0.350,1.138,-5.1,-0.318,1.597,102.1
12.70,-0.033,-0.463,-107.7,-0.362,1.139,-5.3,-0.328,1.602,102.5
12.75,-0.035,-0.469,-108.7,-0.329,1.137,-5.0,-0.294,1.606,103.8
12.79,-0.037,-0.474,-109.7,-0.321,1.136,-4.9,-0.284,1.610,104.8
12.85,-0.039,-0.479,-111.2,-0.312,1.135,-4.5,-0.273,1.615,106.7
12.89,-0.041,-0.485,-112.6,-0.302,1.135,-4.0,-0.261,1.620,108.6
12.95,-0.043,-0.490,-113.8,-0.287,1.134,-4.1,-0.244,1.625,109.8
13.00,-0.046,-0.496,-114.8,-0.279,1.134,-3.8,-0.233,1.630,111.0
13.04,-0.049,-0.503,-115.6,-0.273,1.134,-3.4,-0.224,1.637,112.3
13.10,-0.053,-0.510,-116.0,-0.267,1.134,-2.9,-0.215,1.644,113.1
13.15,-0.056,-0.517,-115.9,-0.256,1.136,-1.3,-0.200,1.653,114.7
13.20,-0.060,-0.526,-115.7,-0.250,1.136,-0.4,-0.189,1.662,115.4
13.25,-0.064,-0.534,-115.5,-0.243,1.138,0.6,-0.179,1.672,116.1
13.30,-0.069,-0.544,-115.2,-0.231,1.140,2.6,-0.162,1.684,117.8
13.35,-0.072,-0.551,-114.9,-0.237,1.138,1.5,-0.165,1.690,116.5
13.40,-0.076,-0.560,-114.5,-0.217,1.143,3.6,-0.140,1.703,118.1
13.45,-0.080,-0.568,-113.8,-0.209,1.143,4.0,-0.129,1.711,117.8
13.50,-0.083,-0.576,-113.2,-0.202,1.144,4.3,-0.118,1.720,117.5
13.55,-0.086,-0.583,-112.5,-0.185,1.146,4.4,-0.098,1.729,116.9
13.60,-0.089,-0.590,-111.5,-0.176,1.146,4.3,-0.087,1.737,115.8
13.65,-0.092,-0.598,-110.6,-0.167,1.147,4.2,-0.075,1.744,114.8
13.70,-0.095,-0.605,-110.0,-0.158,1.147,3.9,-0.063,1.752,113.9
13.75,-0.097,-0.612,-109.5,-0.148,1.147,3.7,-0.051,1.759,113.2
13.80,-0.100,-0.618,-109.0,-0.130,1.148,3.2,-0.030,1.766,112.2
13.85,-0.102,-0.625,-109.0,-0.121,1.148,2.7,-0.019,1.773,111.7
13.90,-0.104,-0.631,-109.1,-0.112,1.148,2.2,-0.008,1.779,111.3
13.95,-0.106,-0.637,-108.9,-0.088,1.146,0.1,0.018,1.783,109.0
14.00,-0.108,-0.642,-108.9,-0.096,1.147,0.9,0.012,1.789,109.8
14.06,-0.110,-0.648,-109.1,-0.073,1.144,-1.2,0.037,1.792,107.9
14.10,-0.111,-0.652,-109.4,-0.080,1.145,-0.6,0.031,1.798,108.8
14.16,-0.113,-0.658,-110.2,-0.052,1.141,-2.6,0.061,1.799,107.5
14.20,-0.115,-0.663,-110.8,-0.059,1.142,-2.2,0.056,1.804,108.6
14.26,-0.117,-0.669,-111.5,-0.039,1.140,-2.7,0.079,1.809,108.9
14.30,-0.119,-0.673,-112.0,-0.045,1.140,-2.7,0.074,1.813,109.3
14.35,-0.121,-0.677,-112.3,-0.032,1.140,-2.7,0.088,1.817,109.6
14.40,-0.123,-0.682,-112.3,-0.021,1.139,-2.5,0.101,1.821,109.7
14.45,-0.124,-0.686,-112.3,-0.016,1.139,-2.5,0.108,1.824,109.8
14.50,-0.125,-0.689,-112.1,-0.011,1.139,-2.3,0.114,1.827,109.8
14.55,-0.126,-0.691,-111.8,-0.001,1.139,-1.3,0.126,1.830,110.5
